2 epoch, LR 0.000095, LOSS 0.618479, mAP 86.28%, bestmAP 86.28%
3 epoch, LR 0.000090, LOSS 0.550078, mAP 87.46%, bestmAP 87.46%
4 epoch, LR 0.000086, LOSS 0.510751, mAP 89.02%, bestmAP 89.02%
5 epoch, LR 0.000081, LOSS 0.485523, mAP 89.67%, bestmAP 89.67%
6 epoch, LR 0.000077, LOSS 0.467146, mAP 90.25%, bestmAP 90.25%
7 epoch, LR 0.000074, LOSS 0.449998, mAP 89.78%, bestmAP 90.25%
8 epoch, LR 0.000070, LOSS 0.435261, mAP 90.79%, bestmAP 90.79%
9 epoch, LR 0.000066, LOSS 0.418916, mAP 91.33%, bestmAP 91.33%
10 epoch, LR 0.000063, LOSS 0.409919, mAP 90.83%, bestmAP 91.33%
11 epoch, LR 0.000060, LOSS 0.402566, mAP 91.31%, bestmAP 91.33%
12 epoch, LR 0.000057, LOSS 0.392010, mAP 91.61%, bestmAP 91.61%
13 epoch, LR 0.000054, LOSS 0.377568, mAP 91.72%, bestmAP 91.72%
14 epoch, LR 0.000051, LOSS 0.368974, mAP 91.37%, bestmAP 91.72%
15 epoch, LR 0.000049, LOSS 0.362334, mAP 92.03%, bestmAP 92.03%
16 epoch, LR 0.000046, LOSS 0.352187, mAP 92.15%, bestmAP 92.15%
17 epoch, LR 0.000044, LOSS 0.344132, mAP 91.88%, bestmAP 92.15%
18 epoch, LR 0.000042, LOSS 0.340267, mAP 92.08%, bestmAP 92.15%
