1 epoch, LR 0.001000, LOSS 1.398983, mAP 38.72%, bestmAP 38.72%
2 epoch, LR 0.000950, LOSS 1.261356, mAP 59.59%, bestmAP 59.59%
3 epoch, LR 0.000902, LOSS 1.193246, mAP 63.25%, bestmAP 63.25%
4 epoch, LR 0.000857, LOSS 1.182348, mAP 64.41%, bestmAP 64.41%
5 epoch, LR 0.000815, LOSS 1.171440, mAP 64.66%, bestmAP 64.66%
6 epoch, LR 0.000774, LOSS 1.158428, mAP 64.88%, bestmAP 64.88%
7 epoch, LR 0.000735, LOSS 1.153120, mAP 65.23%, bestmAP 65.23%
8 epoch, LR 0.000698, LOSS 1.144506, mAP 66.61%, bestmAP 66.61%
9 epoch, LR 0.000663, LOSS 1.130419, mAP 68.17%, bestmAP 68.17%
10 epoch, LR 0.000630, LOSS 1.121921, mAP 68.25%, bestmAP 68.25%
11 epoch, LR 0.000599, LOSS 1.117646, mAP 66.73%, bestmAP 68.25%
12 epoch, LR 0.000569, LOSS 1.117792, mAP 68.00%, bestmAP 68.25%
